date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:23:23	105037/105037	---MCZ	200	added ('OK')	text/css	date:Wed,%2015%20Feb%202023%2020:39:23%20GMT	https://kingsclub.in/wp-content/cache/wpfc-minified/epcixw17/8hrt7.css	D:/club/kingsclub.in/wp-content/cache/wpfc-minified/epcixw17/8hrt7.css	(from https://kingsclub.in/)
11:23:23	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2008%20Nov%202023%2005:53:21%20GMT	http://kingsclub.in/wp-content/cache/wpfc-minified/lxv35h65/8hrt7.css	D:/club/kingsclub.in/wp-content/cache/wpfc-minified/lxv35h65/8hrt7.css	(from https://kingsclub.in/)
11:23:23	426/426	---M-Z	200	added ('OK')	text/css	date:Wed,%2015%20Feb%202023%2020:39:23%20GMT	https://kingsclub.in/wp-content/cache/wpfc-minified/lxv35h65/8hrt7.css	D:/club/kingsclub.in/wp-content/cache/wpfc-minified/lxv35h65/8hrt7.css	(from https://kingsclub.in/)
11:23:24	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2008%20Nov%202023%2005:53:21%20GMT	http://kingsclub.in/wp-content/cache/wpfc-minified/fenpg5cn/8hrt7.css	D:/club/kingsclub.in/wp-content/cache/wpfc-minified/fenpg5cn/8hrt7.css	(from https://kingsclub.in/)
11:23:24	537/537	---M-Z	200	added ('OK')	text/css	date:Wed,%2015%20Feb%202023%2020:39:23%20GMT	https://kingsclub.in/wp-content/cache/wpfc-minified/fenpg5cn/8hrt7.css	D:/club/kingsclub.in/wp-content/cache/wpfc-minified/fenpg5cn/8hrt7.css	(from https://kingsclub.in/)
11:23:24	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2008%20Nov%202023%2005:53:22%20GMT	http://kingsclub.in/wp-content/cache/wpfc-minified/v4n49x/8hrt7.css	D:/club/kingsclub.in/wp-content/cache/wpfc-minified/v4n49x/8hrt7.css	(from https://kingsclub.in/)
11:23:24	19671/19671	---M-Z	200	added ('OK')	text/css	date:Wed,%2015%20Feb%202023%2020:39:23%20GMT	https://kingsclub.in/wp-content/cache/wpfc-minified/v4n49x/8hrt7.css	D:/club/kingsclub.in/wp-content/cache/wpfc-minified/v4n49x/8hrt7.css	(from https://kingsclub.in/)
11:23:25	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2008%20Nov%202023%2005:53:22%20GMT	http://kingsclub.in/wp-content/cache/wpfc-minified/8lgck1dr/8hrt7.css	D:/club/kingsclub.in/wp-content/cache/wpfc-minified/8lgck1dr/8hrt7.css	(from https://kingsclub.in/)
11:23:26	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2008%20Nov%202023%2005:53:23%20GMT	http://kingsclub.in/wp-content/cache/wpfc-minified/e1vwdeq7/8hrt7.css	D:/club/kingsclub.in/wp-content/cache/wpfc-minified/e1vwdeq7/8hrt7.css	(from https://kingsclub.in/)
11:23:26	9895/9895	---MCZ	200	added ('OK')	text/css	date:Wed,%2015%20Feb%202023%2020:39:23%20GMT	https://kingsclub.in/wp-content/cache/wpfc-minified/8lgck1dr/8hrt7.css	D:/club/kingsclub.in/wp-content/cache/wpfc-minified/8lgck1dr/8hrt7.css	(from https://kingsclub.in/)
11:23:26	136726/136726	---MCZ	200	added ('OK')	text/css	date:Wed,%2015%20Feb%202023%2020:39:23%20GMT	https://kingsclub.in/wp-content/cache/wpfc-minified/e1vwdeq7/8hrt7.css	D:/club/kingsclub.in/wp-content/cache/wpfc-minified/e1vwdeq7/8hrt7.css	(from https://kingsclub.in/)
11:23:26	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2008%20Nov%202023%2005:53:24%20GMT	http://kingsclub.in/wp-content/cache/wpfc-minified/kpnngyau/8hrt7.css	D:/club/kingsclub.in/wp-content/cache/wpfc-minified/kpnngyau/8hrt7.css	(from https://kingsclub.in/)
11:23:26	12876/12876	---M-Z	200	added ('OK')	text/css	date:Wed,%2015%20Feb%202023%2020:39:23%20GMT	https://kingsclub.in/wp-content/cache/wpfc-minified/kpnngyau/8hrt7.css	D:/club/kingsclub.in/wp-content/cache/wpfc-minified/kpnngyau/8hrt7.css	(from https://kingsclub.in/)
11:23:27	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2008%20Nov%202023%2005:53:25%20GMT	http://kingsclub.in/wp-content/cache/wpfc-minified/d360y11f/8hrt7.css	D:/club/kingsclub.in/wp-content/cache/wpfc-minified/d360y11f/8hrt7.css	(from https://kingsclub.in/)
11:23:27	1162/1162	---MCZ	200	added ('OK')	text/css	date:Mon,%2020%20Mar%202023%2014:59:55%20GMT	https://kingsclub.in/wp-content/uploads/elementor/css/post-20.css?ver=1679324395	D:/club/kingsclub.in/wp-content/uploads/elementor/css/post-20b3cc.css	(from https://kingsclub.in/)
11:23:28	33951/33951	---MCZ	200	added ('OK')	text/css	date:Wed,%2015%20Feb%202023%2020:39:23%20GMT	https://kingsclub.in/wp-content/cache/wpfc-minified/d360y11f/8hrt7.css	D:/club/kingsclub.in/wp-content/cache/wpfc-minified/d360y11f/8hrt7.css	(from https://kingsclub.in/)
11:23:28	120672/120672	---MCZ	200	added ('OK')	text/css	date:Fri,%2021%20Jul%202023%2012:45:01%20GMT	https://kingsclub.in/wp-content/uploads/elementor/css/post-294.css?ver=1689943344	D:/club/kingsclub.in/wp-content/uploads/elementor/css/post-2943758.css	(from https://kingsclub.in/)
11:23:29	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2008%20Nov%202023%2005:53:26%20GMT	http://kingsclub.in/wp-content/cache/wpfc-minified/2om1pgcg/8hrt7.css	D:/club/kingsclub.in/wp-content/cache/wpfc-minified/2om1pgcg/8hrt7.css	(from https://kingsclub.in/)
11:23:29	68788/68788	---M-Z	200	added ('OK')	text/css	date:Wed,%2015%20Feb%202023%2020:39:23%20GMT	https://kingsclub.in/wp-content/cache/wpfc-minified/2om1pgcg/8hrt7.css	D:/club/kingsclub.in/wp-content/cache/wpfc-minified/2om1pgcg/8hrt7.css	(from https://kingsclub.in/)
11:23:29	19219/19219	---M-Z	200	added ('OK')	text/css	date:Mon,%2030%20Oct%202023%2013:46:16%20GMT	https://kingsclub.in/wp-content/uploads/elementor/css/post-201.css?ver=1689942860	D:/club/kingsclub.in/wp-content/uploads/elementor/css/post-201195a.css	(from https://kingsclub.in/)
11:23:29	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2008%20Nov%202023%2005:53:27%20GMT	http://kingsclub.in/wp-content/cache/wpfc-minified/eteal7jm/8hrt7.css	D:/club/kingsclub.in/wp-content/cache/wpfc-minified/eteal7jm/8hrt7.css	(from https://kingsclub.in/)
11:23:30	49408/49408	---M-Z	200	added ('OK')	text/css	date:Wed,%2015%20Feb%202023%2020:39:23%20GMT	https://kingsclub.in/wp-content/cache/wpfc-minified/eteal7jm/8hrt7.css	D:/club/kingsclub.in/wp-content/cache/wpfc-minified/eteal7jm/8hrt7.css	(from https://kingsclub.in/)
